Year,Team,Jersey,Player,Pos,Yr,GP,GS
2014-15,Air Force Falcons,47,"Alexander, Claude",LB,So,13,0
2014-15,Air Force Falcons,90,"Allen, Reed",DL,Jr,1,0
2014-15,Air Force Falcons,10,"Apfel, Cody",WR,Jr,12,0
2014-15,Air Force Falcons,3R,"Backenstoe, Wil",nan,nan,1,0
2014-15,Air Force Falcons,4,"Baker, Kalon",DB,Jr,10,0
2014-15,Air Force Falcons,11,"Barnes, Myles",WR,Jr,12,0
2014-15,Air Force Falcons,3A,"Baxley, Thaddeu",nan,nan,1,0
2014-15,Air Force Falcons,98,"Beschel, Dillon",DL,Sr,13,0
2014-15,Air Force Falcons,75,"Brantley, Luke",OL,Jr,7,0
2014-15,Air Force Falcons,3W,"Bronkar, Cody",WR,Fr,1,0
2014-15,Air Force Falcons,7,"Brown, Garrett",WR,Jr,12,8
2014-15,Air Force Falcons,54,"Bungum, Dylan",DL,Sr,1,0
2014-15,Air Force Falcons,93,"Byers, Samuel",DL,So,4,0
2014-15,Air Force Falcons,17,"Byrd, Jamal",DB,Sr,10,2
2014-15,Air Force Falcons,95,"Cannon, Riley",DL,Sr,13,0
2014-15,Air Force Falcons,73,"Caunitz, Allen",OL,So,4,1
2014-15,Air Force Falcons,88,"Cender, Pete",TE,So,0,0
2014-15,Air Force Falcons,12,"Chubb, Zach",DB,So,7,0
2014-15,Air Force Falcons,38,"Cleveland, Kellen",LB,So,1,0
2014-15,Air Force Falcons,33,"Clinton-Earl, Aaron",RB,Jr,1,0
2014-15,Air Force Falcons,30,"Conant, Will",K,Sr,13,0
2014-15,Air Force Falcons,69,"Darling, Daniel",OL,So,2,0
2014-15,Air Force Falcons,43,"Davern, Shayne",RB,So,11,9
2014-15,Air Force Falcons,8A,"Davis, Pate",QB,So,0,0
2014-15,Air Force Falcons,13,"Decoud, Justin",DB,Sr,13,8
2014-15,Air Force Falcons,46,"Dreslinski, Nate",TE,Sr,13,1
2014-15,Air Force Falcons,27,"Driskell, Bryan",RB,So,3,0
2014-15,Air Force Falcons,34,"Dunn, Haji",LB,So,3,0
2014-15,Air Force Falcons,92,"Dunn, Brett",K,Jr,11,0
2014-15,Air Force Falcons,66,"Elliott, Harrison",OL,Sr,12,0
2014-15,Air Force Falcons,97,"Fitzgerald, Nick",DL,Sr,13,13
2014-15,Air Force Falcons,50,"Flor, Jack",LB,Fr,0,0
2014-15,Air Force Falcons,23,"Galland, Matt",WR,So,7,0
2014-15,Air Force Falcons,42,"George, Kristov",LB,Jr,1,0
2014-15,Air Force Falcons,76,"Gikas, Andrew",OL,So,0,0
2014-15,Air Force Falcons,79,"Green, Robert",DL,Sr,5,0
2014-15,Air Force Falcons,80,"Griffin, Garrett",TE,Jr,12,10
2014-15,Air Force Falcons,52,"Halloran, Patrick",OL,So,3,0
2014-15,Air Force Falcons,26,"Hancock, Brent",WR,Sr,0,0
2014-15,Air Force Falcons,26,"Hancock, Tucker",nan,nan,2,0
2014-15,Air Force Falcons,87,"Hansen, Alex",DL,Jr,13,13
2014-15,Air Force Falcons,53,"Harris, David",DL,So,12,0
2014-15,Air Force Falcons,32,"Hart, Broam",RB,Sr,7,2
2014-15,Air Force Falcons,41,"Healy, Patrick",LB,So,11,0
2014-15,Air Force Falcons,6,"Healy, Connor",LB,Jr,13,13
2014-15,Air Force Falcons,85,"Hendricks, Marcus",TE,Sr,11,4
2014-15,Air Force Falcons,4R,"Hester, Scott",RB,So,1,0
2014-15,Air Force Falcons,18,"Hicks, Brodie",WR,Fr,2,0
2014-15,Air Force Falcons,19,"Hill, Brayden",DB,So,1,0
2014-15,Air Force Falcons,83,"Huff, Riley",TE,Jr,0,0
2014-15,Air Force Falcons,14,"Huntsman, Colton",WR,Sr,9,2
2014-15,Air Force Falcons,65,"Husar, Jr., Michael",OL,Sr,13,13
2014-15,Air Force Falcons,3,"Johnson, D.J.",RB,So,11,2
2014-15,Air Force Falcons,63,"Jones, David",OL,Sr,9,5
2014-15,Air Force Falcons,99,"Lacy, Jalen",DL,So,10,0
2014-15,Air Force Falcons,25,"Ladipo, Roland",DB,So,13,0
2014-15,Air Force Falcons,24,"Lee, Jonathan",RB,Sr,11,1
2014-15,Air Force Falcons,82,"Link, Keith",TE,Sr,9,0
2014-15,Air Force Falcons,29,"Linn, Hayes",DB,So,13,0
2014-15,Air Force Falcons,15,"Ludowig, Alex",WR,Jr,9,2
2014-15,Air Force Falcons,60,"Manuel, Jimmy",OL,Sr,12,0
2014-15,Air Force Falcons,2A,"Mayes, Jordan",DB,Sr,13,9
2014-15,Air Force Falcons,20,"McHenry, Gavin",DB,Jr,13,6
2014-15,Air Force Falcons,96,"Moorhead, Cody",DL,Fr,0,0
2014-15,Air Force Falcons,49,"Nichol, Joey",LB,Sr,4,1
2014-15,Air Force Falcons,64,"Noyes, Patrick",OL,Sr,12,10
2014-15,Air Force Falcons,94,"Oehrle, Drew",K,Jr,13,0
2014-15,Air Force Falcons,84,"Onwuzu, Nelson",WR,Jr,0,0
2014-15,Air Force Falcons,48,"Onyechi, Jacob",LB,So,12,1
2014-15,Air Force Falcons,28,"Owens, Jocobi",RB,So,10,10
2014-15,Air Force Falcons,2,"Pearson, Kale",QB,Sr,12,12
2014-15,Air Force Falcons,51,"Pierce, Jordan",LB,Sr,13,12
2014-15,Air Force Falcons,36,"Proctor, Spencer",LB,Sr,13,13
2014-15,Air Force Falcons,74,"Remmo, Sevrin",OL,Jr,3,3
2014-15,Air Force Falcons,16,"Roberts, Karson",QB,Jr,3,0
2014-15,Air Force Falcons,9,"Robinette, Jalen",WR,So,13,11
2014-15,Air Force Falcons,72,"Rochell, Matt",OL,Jr,13,13
2014-15,Air Force Falcons,6A,"Romine, Nate",QB,So,5,1
2014-15,Air Force Falcons,44,"Ross, Grant",nan,nan,6,0
2014-15,Air Force Falcons,58,"Ruechel, A.J.",OL,Jr,13,13
2014-15,Air Force Falcons,5R,"Rushing, Devin",RB,Jr,13,3
2014-15,Air Force Falcons,56,"Sandor, Colin",OL,So,11,6
2014-15,Air Force Falcons,45,"Self, Josh",TE,So,0,0
2014-15,Air Force Falcons,22,"Solano, Paco",RB,Sr,10,0
2014-15,Air Force Falcons,62,"Sparling, Malachi",OL,Sr,0,0
2014-15,Air Force Falcons,21,"Spears, Christian",DB,Sr,13,13
2014-15,Air Force Falcons,8,"Steelhammer, Weston",DB,So,13,11
2014-15,Air Force Falcons,57,"Sutton, Michael",OL,Fr,1,0
2014-15,Air Force Falcons,91,"Timmerman, Troy",DL,Sr,13,13
2014-15,Air Force Falcons,70,"Uzo-Okereke, Ar",OL,Jr,3,0
2014-15,Air Force Falcons,67,"Vail, Dylan",OL,So,2,0
2014-15,Air Force Falcons,5,"Walker, Dexter",DB,Jr,12,12
2014-15,Air Force Falcons,40,"Watson, Ryan",DL,So,12,0
2014-15,Air Force Falcons,5A,"Wermuth, Eric",DB,Jr,0,0
2014-15,Air Force Falcons,39,"Wharton, Donnie",LB,Sr,7,0
2014-15,Air Force Falcons,2W,"Williams, Tyler",QB,Fr,2,0
2014-15,Air Force Falcons,61,"Wilson, Jackson",OL,So,1,0
2014-15,Air Force Falcons,89,"Zuberer, Grayson",TE,So,1,0
