Year,Team,Jersey,Player,Pos,Yr,GP,GS
2013-14,Air Force Falcons,59,"Adenji, Moshood",OL,Sr,12,12
2013-14,Air Force Falcons,35,"Alabi, Justin",LB,Fr,6,0
2013-14,Air Force Falcons,12,"Awini, Jaleel",QB,So,0,0
2013-14,Air Force Falcons,28,"Baker, Kalon",DB,So,5,0
2013-14,Air Force Falcons,18,"Barnes, Reggie",LB,So,12,11
2013-14,Air Force Falcons,11,"Barnes, Myles",WR,So,10,2
2013-14,Air Force Falcons,19,"Baska, David",K,Sr,12,0
2013-14,Air Force Falcons,23,"Batts, Steffon",DB,Sr,12,12
2013-14,Air Force Falcons,98,"Beschel, Dillon",DL,Jr,7,0
2013-14,Air Force Falcons,7,"Brown, Garrett",WR,So,12,2
2013-14,Air Force Falcons,54,"Bungum, Dylan",DL,Jr,1,0
2013-14,Air Force Falcons,17,"Byrd, Jamal",DB,Jr,10,6
2013-14,Air Force Falcons,99,"Cannada, Briceton",K,Sr,12,0
2013-14,Air Force Falcons,95,"Cannon, Riley",DL,Jr,11,0
2013-14,Air Force Falcons,56,"Carrington, Kevin",OL,Sr,4,0
2013-14,Air Force Falcons,47,"Champaign, Joseph",DL,Jr,2,1
2013-14,Air Force Falcons,41,"Cheeks, Glynn",LB,Fr,0,0
2013-14,Air Force Falcons,1A,"Chubb, Zach",DB,Fr,0,0
2013-14,Air Force Falcons,33,"Clinton-Earl, Aaron",,,5,0
2013-14,Air Force Falcons,30,"Conant, Will",K,Jr,11,0
2013-14,Air Force Falcons,57,"Cooksey, Taylor",OL,Jr,1,0
2013-14,Air Force Falcons,8A,"Davis, Pate",,,1,0
2013-14,Air Force Falcons,38,"Davis, Markez",RB,Fr,0,0
2013-14,Air Force Falcons,13,"Decoud, Justin",DB,Jr,11,0
2013-14,Air Force Falcons,92,"Deeks, Lochlin",,,1,0
2013-14,Air Force Falcons,46,"Dreslinski, Nate",TE,Jr,11,0
2013-14,Air Force Falcons,81,"Duncavage, Luke",WR,Jr,4,0
2013-14,Air Force Falcons,3A,"Dunn, Brett",,,1,0
2013-14,Air Force Falcons,66,"Elliott, Harrison",OL,Jr,12,0
2013-14,Air Force Falcons,8A,"Evans, Jerod",QB,Fr,0,0
2013-14,Air Force Falcons,45,"Fisher, Miles",LB,Jr,12,0
2013-14,Air Force Falcons,97,"Fitzgerald, Nick",DL,Jr,12,10
2013-14,Air Force Falcons,4,"Gagliano, Sam",WR,Jr,11,8
2013-14,Air Force Falcons,10,"Gann, Christian",WR,Jr,1,0
2013-14,Air Force Falcons,42,"George, Kristov",LB,So,7,5
2013-14,Air Force Falcons,79,"Green, Robert",DL,Jr,4,1
2013-14,Air Force Falcons,80,"Griffin, Garrett",TE,So,12,7
2013-14,Air Force Falcons,26,"Hancock, Brent",WR,Jr,4,0
2013-14,Air Force Falcons,87,"Hansen, Alex",DL,So,12,12
2013-14,Air Force Falcons,53,"Harris, David",DL,Fr,10,2
2013-14,Air Force Falcons,32,"Hart, Broam",RB,Jr,12,10
2013-14,Air Force Falcons,61,"Hayes, Austin",OL,Sr,7,0
2013-14,Air Force Falcons,6,"Healy, Connor",LB,So,9,0
2013-14,Air Force Falcons,85,"Hendricks, Marcus",TE,Jr,12,6
2013-14,Air Force Falcons,77,"Henry, Jerry",OL,Sr,12,12
2013-14,Air Force Falcons,93,"Hoffman, Zach",K,Sr,2,0
2013-14,Air Force Falcons,73,"Holba, Andrew",OL,So,1,0
2013-14,Air Force Falcons,83,"Huff, Riley",TE,So,1,0
2013-14,Air Force Falcons,14,"Huntsman, Colton",WR,Jr,12,4
2013-14,Air Force Falcons,65,"Husar, Jr., Michael",OL,Sr,12,12
2013-14,Air Force Falcons,43,"Imamura, Ian",LB,So,0,0
2013-14,Air Force Falcons,29,"Johnson, D.J.",RB,Fr,9,0
2013-14,Air Force Falcons,8,"Jones, Jared",LB,Jr,10,5
2013-14,Air Force Falcons,63,"Jones, David",OL,Jr,5,0
2013-14,Air Force Falcons,68,"Kerber, Drew",OL,Sr,7,1
2013-14,Air Force Falcons,34,"Kohn, Demario",RB,Jr,12,0
2013-14,Air Force Falcons,37,"Lacoste, Anthony",DB,Sr,12,6
2013-14,Air Force Falcons,5A,"Lacy, Jalen",LB,Fr,0,0
2013-14,Air Force Falcons,25,"Ladipo, Roland",DB,Fr,12,0
2013-14,Air Force Falcons,24,"Lee, Jonathan",RB,Jr,10,4
2013-14,Air Force Falcons,82,"Link, Keith",TE,Jr,12,0
2013-14,Air Force Falcons,9C,"Linn, Hayes",,,9,0
2013-14,Air Force Falcons,62,"Lore, David",OL,Sr,12,12
2013-14,Air Force Falcons,78,"Lovett, Ross",OL,Sr,11,0
2013-14,Air Force Falcons,15,"Ludowig, Alex",WR,So,11,7
2013-14,Air Force Falcons,96,"Luebbe, Dana",DL,Sr,9,7
2013-14,Air Force Falcons,27,"MacArthur, Ty",WR,Sr,3,1
2013-14,Air Force Falcons,60,"Manuel, Jimmy",OL,Jr,2,0
2013-14,Air Force Falcons,2A,"Mayes, Jordan",DB,Jr,6,0
2013-14,Air Force Falcons,69,"McBee, Payden",OL,Jr,0,0
2013-14,Air Force Falcons,20,"McHenry, Gavin",DB,So,12,12
2013-14,Air Force Falcons,3,"Miller, Chris",DB,Sr,7,0
2013-14,Air Force Falcons,49,"Nichol, Joey",LB,Jr,9,9
2013-14,Air Force Falcons,67,"Njemanze, Jabree",OL,So,1,0
2013-14,Air Force Falcons,64,"Noyes, Patrick",OL,Jr,5,0
2013-14,Air Force Falcons,9B,"Oehrle, Drew",K,So,2,0
2013-14,Air Force Falcons,84,"Onwuzu, Nelson",WR,So,1,0
2013-14,Air Force Falcons,48,"Onyechi, Jacob",,,2,0
2013-14,Air Force Falcons,2,"Pearson, Kale",QB,Jr,2,1
2013-14,Air Force Falcons,51,"Pierce, Jordan",,,12,3
2013-14,Air Force Falcons,36,"Proctor, Spencer",LB,Jr,12,12
2013-14,Air Force Falcons,74,"Remmo, Sevrin",OL,So,6,0
2013-14,Air Force Falcons,44,"Riley, Jake",LB,Fr,0,0
2013-14,Air Force Falcons,6A,"Roberts, Karson",QB,So,10,3
2013-14,Air Force Falcons,9,"Robinette, Jalen",WR,Fr,12,2
2013-14,Air Force Falcons,72,"Rochell, Matt",OL,So,12,12
2013-14,Air Force Falcons,6B,"Romine, Nate",QB,Fr,9,5
2013-14,Air Force Falcons,58,"Ruechel, A.J.",OL,So,11,0
2013-14,Air Force Falcons,31,"Rushing, Devin",,,12,0
2013-14,Air Force Falcons,52,"Salimu, Yohance",DL,So,1,0
2013-14,Air Force Falcons,22,"Solano, Paco",RB,Jr,5,0
2013-14,Air Force Falcons,21,"Spears, Christian",DB,Jr,12,12
2013-14,Air Force Falcons,6A,"Steelhammer, Weston",DB,Fr,8,0
2013-14,Air Force Falcons,9A,"Stevenson, Marcus",RB,Jr,1,0
2013-14,Air Force Falcons,55,"Sumpter, Steven",LB,Jr,12,0
2013-14,Air Force Falcons,91,"Timmerman, Troy",DL,Jr,12,2
2013-14,Air Force Falcons,70,"Uzo-Okereke, Ar",,,2,0
2013-14,Air Force Falcons,5,"Walker, Dexter",DB,So,12,8
2013-14,Air Force Falcons,40,"Watson, Ryan",DL,Fr,11,1
2013-14,Air Force Falcons,39,"Wharton, Donnie",,,11,1
2013-14,Air Force Falcons,48,"Wiernicki, Johnny",RB,Fr,0,0
2013-14,Air Force Falcons,71,"Zemko, Charles",OL,Sr,7,0
